Year,CountyName,Population,Municipal,Manufactoring,Mining,SteamElectric,Irrigation,LiveStock,Muni_GW,Muni_SW,MFG_Gw,MFG_SW,Mining_GW,Mining_SW,Power_GW,Power_SW,Irrig_GW,Irrig_SW,Livestock_GW,Livestock_SW,textbox46,textbox11,textbox13,textbox15,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,textbox27,textbox29,textbox31,textbox33,textbox35,textbox37,textbox39,textbox41,textbox43,textbox45
2013,ANDERSON,"59,008","15,643",0,1,0,799,"1,001","9,757","5,886",0,0,1,0,0,0,452,347,50,951,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,ANDREWS,"16,491","3,602",428,"1,237",0,"18,398",208,"3,602",0,428,0,"1,237",0,0,0,"18,398",0,208,0,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,ANGELINA,"89,839","11,273","3,195",13,0,642,984,"10,649",624,"2,897",297,9,4,0,0,0,642,98,886,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,ARANSAS,"24,385","3,694",0,0,0,0,49,411,"3,283",0,0,0,0,0,0,0,0,34,15,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,ARCHER,"9,242","1,128",1,39,0,400,"1,694",144,984,0,1,8,31,0,0,400,0,339,"1,355",2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,ARMSTRONG,"1,944",383,0,0,0,"7,755",273,383,0,0,0,0,0,0,0,"7,755",0,246,27,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,ATASCOSA,"47,125","6,908",50,"2,306","7,934","31,848","1,321","6,908",0,50,0,"2,075",231,"7,934",0,"31,848",0,"1,057",264,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,AUSTIN,"29,178","4,350",28,678,0,"7,101","1,086","4,350",0,28,0,0,678,0,0,"7,101",0,326,760,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,BAILEY,"7,140","1,145",0,0,0,"89,383","3,152","1,145",0,0,0,0,0,0,0,"89,383",0,"2,837",315,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,BANDERA,"20,943","2,462",0,0,0,793,199,"2,462",0,0,0,0,0,0,0,778,15,149,50,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,BASTROP,"78,707","10,611",84,44,"5,549","3,064",961,"10,611",0,81,2,44,0,0,"5,549","2,533",531,192,769,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,BAYLOR,"3,631",845,0,0,0,"3,517",694,830,15,0,0,0,0,0,0,"3,157",360,138,556,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
2013,BEE,"32,414","6,844",0,32,0,"3,011",576,"3,016","3,828",0,0,29,3,0,0,"3,003",8,461,115,2013,"26,448,194","4,306,359","1,038,368","140,241","479,240","8,435,201","307,433","1,600,057","2,706,307","192,416","845,889","112,541","27,697","55,135","424,103","7,076,697","1,358,504","151,183","156,251"
