Year,CountyName,Population,Municipal,Manufacturing,Mining,Power,Irrigation,LiveStock,Muni_GW,Muni_SW,Muni_RU,MFG_Gw,MFG_SW,MFG_RU,Mining_GW,Mining_SW,Mining_RU,Power_GW,Power_SW,Power_RU,Irrig_GW,Irrig_SW,Irrig_RU,Livestock_GW,Livestock_SW,Livestock_RU,textbox46,textbox11,textbox13,Manufacturing1,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,Textbox44,textbox27,textbox29,Textbox49,textbox31,textbox33,Textbox52,textbox35,textbox37,Textbox55,textbox39,textbox41,Textbox58,textbox43,textbox45,Textbox61
2015,ANDERSON,"58,906","11,753",724,1,0,675,"1,070","8,631","3,120",2,724,0,0,1,0,0,0,0,0,355,320,0,54,"1,016",0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,ANDREWS,"17,920","3,698",544,"1,811",0,"14,613",187,"3,220",0,478,544,0,0,"1,272",0,539,0,0,0,"14,613",0,0,187,0,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,ANGELINA,"90,373","10,639","3,821",28,51,110,976,"10,510",129,0,"2,747","1,039",35,19,8,1,51,0,0,0,110,0,98,878,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,ARANSAS,"25,110","3,368",0,0,0,0,51,340,"3,028",0,0,0,0,0,0,0,0,0,0,0,0,0,36,15,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,ARCHER,"9,136",953,1,0,0,0,"1,767",93,859,1,0,1,0,0,0,0,0,0,0,0,0,0,354,"1,413",0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,ARMSTRONG,"1,939",312,0,0,0,"4,483",286,312,0,0,0,0,0,0,0,0,0,0,0,"4,483",0,0,257,29,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,ATASCOSA,"48,783","6,527",50,"3,482","3,478","21,939","1,413","6,527",0,0,50,0,0,"2,507",279,696,"3,478",0,0,"21,939",0,0,"1,130",283,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,AUSTIN,"30,446","3,785",14,45,0,"4,951","1,195","3,785",0,0,14,0,0,0,45,0,0,0,0,"4,951",0,0,359,836,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,BAILEY,"7,112","1,155",0,0,0,"55,099","3,419",940,0,215,0,0,0,0,0,0,0,0,0,"54,952",0,147,"3,077",342,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
2015,BANDERA,"21,317","2,112",0,0,0,594,217,"2,098",0,14,0,0,0,0,0,0,0,0,0,578,16,0,163,54,0,2015,"27,469,114","4,277,409","1,019,173","180,632","533,378","6,206,293","316,642","1,446,371","2,715,577","115,461","171,564","825,880","21,729","118,041","20,403","42,188","50,377","420,063","62,938","5,014,383","1,141,173","50,737","155,762","160,880",0
