Year,CountyName,Population,Municipal,Manufacturing,Mining,Power,Irrigation,LiveStock,Muni_GW,Muni_SW,Muni_RU,MFG_Gw,MFG_SW,MFG_RU,Mining_GW,Mining_SW,Mining_RU,Power_GW,Power_SW,Power_RU,Irrig_GW,Irrig_SW,Irrig_RU,Livestock_GW,Livestock_SW,Livestock_RU,textbox46,textbox11,textbox13,Manufacturing1,textbox17,textbox19,textbox20,textbox21,textbox23,textbox25,Textbox44,textbox27,textbox29,Textbox49,textbox31,textbox33,Textbox52,textbox35,textbox37,Textbox55,textbox39,textbox41,Textbox58,textbox43,textbox45,Textbox61
2016,ANDERSON,"57,734","11,561","1,537",3,0,720,"1,089","8,580","2,979",2,"1,537",0,0,2,1,0,0,0,0,368,352,0,54,"1,035",0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,ANDREWS,"17,760","3,396",42,"1,997",0,"16,536",191,"3,078",0,318,42,0,0,"1,358",0,639,0,0,0,"16,536",0,0,191,0,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,ANGELINA,"87,791","11,838","4,264",63,261,189,"1,001","10,404","1,434",0,"2,088","2,138",38,42,18,3,261,0,0,28,161,0,100,901,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,ARANSAS,"25,721","3,559",0,0,0,0,52,365,"3,194",0,0,0,0,0,0,0,0,0,0,0,0,0,36,16,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,ARCHER,"8,703","1,040",1,34,0,0,"1,813",95,944,1,0,1,0,7,24,3,0,0,0,0,0,0,363,"1,450",0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,ARMSTRONG,"1,876",330,0,0,0,"6,812",292,330,0,0,0,0,0,0,0,0,0,0,0,"6,812",0,0,263,29,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,ATASCOSA,"48,797","6,296",48,"2,331","5,036","18,673","1,426","6,296",0,0,48,0,0,"1,718",175,438,"5,036",0,0,"18,673",0,0,"1,141",285,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,AUSTIN,"29,758","3,782",14,13,0,"4,894","1,220","3,782",0,0,14,0,0,0,13,0,0,0,0,"4,894",0,0,366,854,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,BAILEY,"7,181","1,220",0,0,0,"64,900","3,456","1,031",0,189,0,0,0,0,0,0,0,0,0,"64,783",0,117,"3,110",346,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,BANDERA,"21,776","2,098",0,0,0,663,220,"2,073",0,25,0,0,0,0,0,0,0,0,0,656,7,0,165,55,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,BASTROP,"82,733","10,426",71,22,"5,844","2,872","1,073","10,346",0,80,71,0,0,22,0,0,"3,272","2,572",0,"2,872",0,0,215,858,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,BAYLOR,"3,697",950,0,0,0,"3,610",734,934,16,0,0,0,0,0,0,0,0,0,0,"2,828",782,0,147,587,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,BEE,"32,750","5,653",0,0,0,"2,706",593,"2,804","2,542",307,0,0,0,0,0,0,0,0,0,"2,706",0,0,475,118,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
2016,BELL,"340,411","51,326",620,11,"3,335","2,833",903,"2,490","48,391",445,2,618,0,11,0,0,0,0,"3,335",585,"2,210",38,271,632,0,2016,"27,862,596","4,412,556","1,068,798","169,128","464,763","7,831,789","325,385","1,448,876","2,858,268","105,412","159,062","886,039","23,697","112,372","14,830","41,926","56,724","352,080","55,959","5,967,759","1,801,089","62,941","160,400","164,985",0
