"","Year","CountyName","Municipal","Population","Muni_GW","Muni_SW","tot.Water_Usage","WaterUsageCapita"
"1",2010,"BEXAR",252345,1714773,"231,103","21,242",225279097.520548,131.375463411512
"2",2011,"BEXAR",286919,1756261,"264,378","22,542",256144775.531507,145.846645533612
"3",2012,"BEXAR",264438,1784731,"245,786","18,652",236075032.158904,132.274853834502
"4",2013,"BEXAR",258852,1813421,"245,623","13,230",231088172.745205,127.43216977481
"5",2014,"BEXAR",258119,1846354,"246,867","11,251",230433792.517808,124.804773362967
"6",2015,"BEXAR",294963,1890984,"249,390","10,465",263325995.926027,139.253423575254
"7",2016,"BEXAR",287847,1928680,"251,181","8,608",256973240.539726,133.237883184212
"8",2017,"BEXAR",310064,1958578,"257,112","8,095",276807299.90137,141.330751137494
"9",2010,"DALLAS",497797,2368139,"2,439","495,359",444404521.224658,187.659812715663
"10",2011,"DALLAS",494891,2403579,"4,667","490,224",441810211.619178,183.813476328083
"11",2012,"DALLAS",472481,2427813,"3,797","468,684",421803852.961644,173.738196871688
"12",2013,"DALLAS",455062,2459095,"983","454,079",406253171.950685,165.204342227805
"13",2014,"DALLAS",454496,2513648,"3,512","450,984",405747879.715069,161.41793907304
"14",2015,"DALLAS",481098,2541528,"4,898","476,193",429496614.789041,168.991494403776
"15",2016,"DALLAS",453791,2574984,"5,194","448,587",405118496.276712,157.328548945047
"16",2017,"DALLAS",456499,2618148,"2,144","441,436",407536042.873973,155.65813807087
"17",2010,"EL PASO",121536,800647,"70,246","51,290",108500348.317808,135.515836964116
"18",2011,"EL PASO",128554,821525,"83,350","45,205",114765614.942466,139.698262307861
"19",2012,"EL PASO",126685,834869,"98,143","28,541",113097079.273973,135.466856805047
"20",2013,"EL PASO",124587,829726,"115,160","9,427",111224105.580822,134.049198869051
"21",2014,"EL PASO",118769,830562,"97,348","21,421",106030129.915068,127.660704336423
"22",2015,"EL PASO",125250,837353,"89,845","30,014",111815993.835616,133.535072825459
"23",2016,"EL PASO",128004,837918,"82,784","40,959",114274606.586301,136.379223964996
"24",2017,"EL PASO",127725,840410,"77,980","42,665",114025531.438356,135.678456275337
"25",2010,"HARRIS",627437,4092459,"228,340","399,098",560139654.484931,136.871170727656
"26",2011,"HARRIS",842079,4176763,"294,930","547,149",751759682.819178,179.986195726015
"27",2012,"HARRIS",684049,4245204,"250,000","434,050",610679590.956164,143.851647872791
"28",2013,"HARRIS",670938,4325413,"220,894","450,044",598974844.487671,138.478070068146
"29",2014,"HARRIS",583186,4443368,"185,053","398,133",520634907.632877,117.171233090052
"30",2015,"HARRIS",637850,4530268,"194,671","440,494",569435781.780822,125.695826776875
"31",2016,"HARRIS",727898,4589928,"200,844","524,180",649825455.336986,141.576394082214
"32",2017,"HARRIS",630437,4652980,"190,036","437,666",562817881.882192,120.958586085088
"33",2010,"HIDALGO",103772,774769,"8,716","95,055",92641671.1561644,119.573280753572
"34",2011,"HIDALGO",132428,798285,"13,154","119,274",118224099.254795,148.097608316321
"35",2012,"HIDALGO",125435,811904,"12,356","113,079",111981151.191781,137.924127965598
"36",2013,"HIDALGO",127138,818553,"12,875","114,263",113501491.610959,138.661139365391
"37",2014,"HIDALGO",120638,828288,"14,060","106,578",107698665.583562,130.025625849417
"38",2015,"HIDALGO",119950,841667,"12,550","98,020",107084458.767123,127.229009533608
"39",2016,"HIDALGO",130430,849843,"13,035","114,579",116440399.808219,137.014012950885
"40",2017,"HIDALGO",134260,860661,"10,357","120,477",119859603.452055,139.26459250745
"41",2010,"TRAVIS",179107,1024266,"18,600","160,507",159896424.813699,156.108300786806
"42",2011,"TRAVIS",208405,1049784,"23,525","184,880",186051993.575342,177.228833336517
"43",2012,"TRAVIS",185397,1072138,"18,666","166,730",165511774.923288,154.375439470747
"44",2013,"TRAVIS",173727,1108503,"19,038","154,689",155093470.347945,139.912540018336
"45",2014,"TRAVIS",164454,1130695,"16,288","148,166",146815069.463014,129.84497982481
"46",2015,"TRAVIS",171312,1169907,"15,958","149,137",152937497.293151,130.726200709245
"47",2016,"TRAVIS",178496,1199323,"18,529","154,954",159350959.167123,132.867425345068
"48",2017,"TRAVIS",184546,1226698,"19,897","159,840",164752051.084931,134.305306672817
