"","Year","CountyName","Population","Municipal","Manufacturing","Mining","Power","Irrigation","LiveStock"
"1",2000,"COLLIN",491675,38323336110,469551291,76249134,591419565,2995,288052284
"2",2000,"DALLAS",2218899,163497694356,9005218236,45619140,3391131357,13087,156734331
"3",2000,"HUNT",76595,4120060044,117632211,0,162273798,1938,364953120
"4",2000,"KAUFMAN",71313,3294679461,231680061,0,0,2916,503439795
"5",2000,"ROCKWALL",43080,2397937509,4887765,0,0,1125,42360630
"6",2001,"COLLIN",538574,42448935621,486495543,36821163,416437578,2598,277950903
"7",2001,"DALLAS",2248226,187828988526,8346999216,43012332,3103079073,10873,172375179
"8",2001,"HUNT",77823,4001124429,129362847,0,146632950,885,352896633
"9",2001,"KAUFMAN",75673,3444570921,212780703,0,0,2222,505394901
"10",2001,"ROCKWALL",47628,2600942682,3910212,0,0,1126,53439564
"11",2002,"COLLIN",565338,42001216347,428494065,32259249,389066094,2598,266871969
"12",2002,"DALLAS",2280453,167398456677,8432698029,60934137,1515533001,10873,155430927
"13",2002,"HUNT",79877,3811153296,135554016,0,100362108,885,349963974
"14",2002,"KAUFMAN",78519,3212890860,250253568,0,0,2222,497248626
"15",2002,"ROCKWALL",50829,2660573415,2606808,0,0,1126,47900097
"16",2003,"COLLIN",593419,42315010860,436314489,32259249,300760473,2000,247972611
"17",2003,"DALLAS",2284665,165163444668,7684869984,42034779,2074367466,13976,79507644
"18",2003,"HUNT",80385,4009270704,193555494,0,97755300,100,333345573
"19",2003,"KAUFMAN",81637,3591203871,205611981,0,0,25,491057457
"20",2003,"ROCKWALL",55212,3014121750,2932659,0,0,0,42360630
"21",2004,"COLLIN",624204,42414721266,451303635,32259249,239826336,1500,262310055
"22",2004,"DALLAS",2290588,169340202786,7131574986,43664034,857313981,7500,79833495
"23",2004,"HUNT",81502,3886099026,192577941,0,26068080,100,331064616
"24",2004,"KAUFMAN",85159,3967887627,230376657,0,0,72,499529583
"25",2004,"ROCKWALL",57649,2794172325,3258510,0,0,0,42360630
"26",2005,"COLLIN",655687,51074211591,375380352,32259249,172049328,750,316727172
"27",2005,"DALLAS",2300359,186958966356,7515427464,46922544,808762182,10150,263613459
"28",2005,"HUNT",82396,4327627131,145003695,0,142722738,150,387436839
"29",2005,"KAUFMAN",89390,4141892061,414808323,0,0,150,596307330
"30",2005,"ROCKWALL",61786,3883166367,10101381,0,0,0,46270842
"31",2006,"COLLIN",696306,52370772720,651702000,32259249,171071775,938,295872708
"32",2006,"DALLAS",2340063,184445025891,8607028314,56698074,261658353,11225,269478777
"33",2006,"HUNT",83050,4675635999,151520715,0,116654658,405,404381091
"34",2006,"KAUFMAN",93807,4184578542,373425246,0,0,179,678747633
"35",2006,"ROCKWALL",69658,4041855804,10753083,0,0,0,46270842
"36",2007,"COLLIN",731350,47225911281,355177590,19225209,108182532,700,338559189
"37",2007,"DALLAS",2364853,177514826823,8484834189,51810309,1495330239,8427,280231860
"38",2007,"HUNT",83704,4114194726,158037735,0,55720521,391,382223223
"39",2007,"KAUFMAN",96498,3821254677,227118147,0,0,100,716546349
"40",2007,"ROCKWALL",72373,3262746063,10101381,0,0,0,29978292
"41",2008,"COLLIN",760013,51566246601,316727172,19225209,48877650,552,235916124
