"","Year","CountyName","Population","Municipal","Manufacturing","Mining","Power","Irrigation","LiveStock"
"1",2000,"COLLIN",491675,77944.4472669955,955.003388417146,155.080355926171,1202.8668632735,0.0060914221792851,585.859122387756
"2",2000,"DALLAS",2218899,73684.1534274431,4058.41736645066,20.5593584926578,1528.29459880779,0.00589797011941508,70.6360816783459
"3",2000,"HUNT",76595,53790.1957569032,1535.76879691886,0,2118.59518245316,0.0253019126574842,4764.71205692278
"4",2000,"KAUFMAN",71313,46200.2644819318,3248.77737579403,0,0,0.040890160279332,7059.57952967902
"5",2000,"ROCKWALL",43080,55662.4305710306,113.45786908078,0,0,0.0261142061281337,983.301532033426
"6",2001,"COLLIN",538574,78817.2760307776,903.303061417744,68.3678807369089,773.222580369643,0.00482384964740221,516.086745739676
"7",2001,"DALLAS",2248226,83545.4213793453,3712.70469072059,19.1316762638632,1380.23449288461,0.00483625756485336,76.6716419968455
"8",2001,"HUNT",77823,51413.1353070429,1662.27011294861,0,1884.18526656644,0.0113719594464361,4534.6058748699
"9",2001,"KAUFMAN",75673,45519.1537404358,2811.84442271352,0,0,0.0293631810553302,6678.66875900255
"10",2001,"ROCKWALL",47628,54609.5297304107,82.0990173847317,0,0,0.0236415553875871,1122.019904258
"11",2002,"COLLIN",565338,74293.991111512,757.943150823047,57.0618797958036,688.200853294843,0.00459548093353003,472.05736921983
"12",2002,"DALLAS",2280453,73405.7911638609,3697.81706924019,26.7201898043941,664.575415937097,0.00476791234022363,68.1579173085347
"13",2002,"HUNT",79877,47712.7745909336,1697.0343903752,0,1256.45815441241,0.0110795347847315,4381.28590207444
"14",2002,"KAUFMAN",78519,40918.6421121003,3187.17212394452,0,0,0.0282988830728868,6332.84461085852
"15",2002,"ROCKWALL",50829,52343.611225875,51.285840760196,0,0,0.0221527080997069,942.377323968601
"16",2003,"COLLIN",593419,71307.1385648252,735.255340661489,54.3616719383774,506.826496960832,0.00337029990613715,417.871033788942
"17",2003,"DALLAS",2284665,72292.19367741,3363.67475494219,18.3986619482506,907.952573353205,0.00611730822680787,34.8005698866136
"18",2003,"HUNT",80385,49875.8562418362,2407.85586863221,0,1216.08882254152,0.00124401318653978,4146.86288486658
"19",2003,"KAUFMAN",81637,43989.904957311,2518.61265112633,0,0,0.000306233693055845,6015.13354238887
"20",2003,"ROCKWALL",55212,54591.7871114975,53.1163334057814,0,0,0,767.235926972397
"21",2004,"COLLIN",624204,67950.095266932,723.006637253206,51.6806188361497,384.211469327335,0.00240306053790107,420.231294576773
"22",2004,"DALLAS",2290588,73928.7042392608,3113.42545494869,19.0623691384046,374.276814948825,0.00327426844111643,34.8528390963368
"23",2004,"HUNT",81502,47681.0265514957,2362.86153714019,0,319.84589335231,0.00122696375549066,4062.04284557434
"24",2004,"KAUFMAN",85159,46593.8729552954,2705.25319696098,0,0,0.000845477283669371,5865.84604093519
"25",2004,"ROCKWALL",57649,48468.7041405749,56.5232701347812,0,0,0,734.802511752155
"26",2005,"COLLIN",655687,77894.1958449687,572.499305308783,49.1991590499735,262.395514933192,0.00114383844730794,483.046288854286
